p_set,c_set,P_FWE_cl,q_FDR_cl,K_E,P_uncorr_cl,P_FWE_pl,q_FDR_pl,T,z,P_uncorr_pl,X,Y,Z
1,7,0,0,32790,0,0,0,13.84,Inf,0,30,-76,28
NaN,NaN,0.017,0.002,1146,0.001,0,0,7.69,7.36,0,-10,-18,6
NaN,NaN,0.551,0.063,389,0.027,0,0,7.45,7.15,0,-30,20,4
NaN,NaN,0.681,0.067,333,0.038,0,0,7.09,6.83,0,32,22,4
NaN,NaN,1,0.442,54,0.379,0.532,0.032,3.89,3.84,0,-48,-24,20
NaN,NaN,1,0.484,35,0.484,0.995,0.189,3.21,3.18,0.001,14,6,6
NaN,NaN,1,0.381,84,0.272,0.995,0.189,3.21,3.18,0.001,-18,10,0
