p_set,c_set,P_FWE_cl,q_FDR_cl,K_E,P_uncorr_cl,P_FWE_pl,q_FDR_pl,T,z,P_uncorr_pl,X,Y,Z
1,8,0,0,33318,0,0,0,14.62,Inf,0,-32,-6,62
NaN,NaN,0.003,0,1379,0,0,0,8.06,7.72,0,-12,-20,10
NaN,NaN,0.558,0.048,351,0.024,0,0,6.91,6.69,0,-30,20,6
NaN,NaN,0.346,0.033,447,0.012,0.001,0,5.61,5.49,0,32,20,6
NaN,NaN,0.917,0.117,206,0.073,0.159,0.006,4.35,4.29,0,14,4,6
NaN,NaN,1,0.406,63,0.305,0.162,0.006,4.35,4.29,0,20,-28,0
NaN,NaN,1,0.554,30,0.485,0.999,0.208,3.17,3.15,0.001,-10,-24,44
NaN,NaN,1,0.928,1,0.928,1,0.967,2.36,2.35,0.009,-46,-24,22
